ID,Severity,Start_Lat,Start_Lng,State,Zipcode,Timezone,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
A-851619,2,35.907605,-78.727324,NC,27613-5245,US/Eastern,63.0,10.0,8.0,0.0,Mostly Cloudy
A-416591,2,25.926012,-80.157162,FL,33162-4926,US/Eastern,91.0,10.0,12.0,0.0,Fair
A-2211090,2,41.769694,-124.18946,CA,95531,US/Pacific,53.0,10.0,8.0,0.0,Fair
A-1350239,2,34.472978999999995,-118.562426,CA,91354,US/Pacific,65.0,10.0,0.0,0.0,Fair
A-1578501,2,43.139201,-77.53915400000002,NY,14610,US/Eastern,14.0,9.0,7.0,0.0,Light Snow
A-1093598,2,32.691277,-96.850015,TX,75224,US/Central,82.0,10.0,10.0,0.0,Mostly Cloudy
A-2229018,2,39.60568,-77.72584,MD,21740,US/Eastern,48.0,10.0,8.0,0.0,Cloudy
A-1879677,2,39.489698,-121.530493,CA,95966-6844,US/Pacific,59.0,10.0,3.0,0.0,Fair
A-1345040,2,28.994023,-81.99632199999998,FL,34491-5913,US/Eastern,81.0,10.0,7.0,0.0,Mostly Cloudy
A-1496971,2,38.610064,-121.415287,CA,95825-0132,US/Pacific,55.0,10.0,8.0,0.0,Cloudy
A-1163598,2,30.168424,-81.593538,FL,32258,US/Eastern,81.0,10.0,8.0,0.0,Cloudy
A-2842809,3,33.985547,-118.28061,CA,90003,US/Pacific,74.0,10.0,9.0,0.0,Fair
A-1460470,2,28.193564,-82.587073,FL,33556,US/Eastern,84.0,10.0,10.0,0.0,Mostly Cloudy
A-1938231,2,30.513081,-91.028935,LA,70739-3308,US/Central,66.0,10.0,3.0,0.0,Fair
A-616620,2,47.508369,-121.888991,WA,98027,US/Pacific,75.0,10.0,0.0,0.0,Fair
A-1534201,2,39.746497,-75.57374200000002,DE,19805-3807,US/Eastern,27.0,10.0,6.0,0.0,Fair
A-1513455,2,38.53813,-121.916434,CA,95694-9023,US/Pacific,55.0,10.0,6.0,0.0,Fair
A-2707144,4,33.873307000000004,-84.014117,GA,30078-2149,US/Eastern,60.8,10.0,12.7,0.0,Light Rain
A-785033,2,32.905791,-96.894359,TX,75229-2203,US/Central,91.0,10.0,12.0,0.0,Partly Cloudy
A-1026143,2,35.867176,-78.59262,NC,27616-3059,US/Eastern,82.0,10.0,6.0,0.0,Fair
A-1757872,2,44.284546,-123.249636,OR,97448,US/Pacific,38.0,0.25,0.0,0.0,Fog
A-1381942,2,26.463111,-81.830299,FL,33908-4743,US/Eastern,75.0,10.0,0.0,0.0,Fair
A-1162439,2,40.530482,-122.109513,CA,96062,US/Pacific,45.0,10.0,3.0,0.0,Cloudy
A-765453,2,28.523655,-81.39701,FL,32805,US/Eastern,70.0,10.0,12.0,0.0,Cloudy
A-1737587,2,41.30607,-124.045097,CA,95555,US/Pacific,46.0,10.0,0.0,0.0,Fair
A-1358025,2,29.436275,-98.503746,TX,78207,US/Central,85.0,10.0,0.0,0.0,Partly Cloudy
A-350545,2,36.220024,-86.774772,TN,37207,US/Central,86.0,10.0,7.0,0.0,Mostly Cloudy
A-1357876,2,33.632726,-117.725673,CA,92618,US/Pacific,74.0,10.0,12.0,0.0,Fair
A-955885,2,35.354949,-119.336306,CA,93314,US/Pacific,83.0,7.0,0.0,0.0,Fair
A-229094,2,40.239138,-75.304583,PA,19446-4242,US/Eastern,28.0,10.0,0.0,0.0,Fair
A-1651025,2,34.12657100000001,-118.273175,CA,90027,US/Pacific,55.0,10.0,0.0,0.0,Fair
A-1885068,2,30.497036,-87.221948,FL,32504-6339,US/Central,94.0,10.0,5.0,0.0,Fair
A-1036276,2,29.796969,-81.31983699999998,FL,32086-7739,US/Eastern,68.0,10.0,8.0,0.0,Fair
A-545244,2,30.291419,-97.782985,TX,78703,US/Central,79.0,10.0,3.0,0.0,Fair
A-1707336,2,25.700704,-80.383193,FL,33183,US/Eastern,77.0,10.0,7.0,0.0,Mostly Cloudy
A-1443689,2,28.576644,-81.451382,FL,32808-4424,US/Eastern,76.0,10.0,12.0,0.0,Partly Cloudy
A-1884640,2,26.685781,-81.795507,FL,33905-3121,US/Eastern,64.0,10.0,10.0,0.0,Fair
A-1689609,2,25.937309,-80.245069,FL,33056,US/Eastern,78.0,10.0,8.0,0.0,Mostly Cloudy
A-1521993,2,41.722437,-71.479158,RI,02886,US/Eastern,43.0,10.0,7.0,0.0,Fair
A-2268808,1,33.5966,-111.9086,AZ,85260,US/Mountain,77.0,10.0,10.0,0.0,Fair
A-1263069,2,38.523826,-121.467222,CA,95824,US/Pacific,50.0,4.0,17.0,0.06,Light Rain
A-450925,2,34.480753,-120.229712,CA,93117,US/Pacific,60.0,10.0,5.0,0.01,Cloudy
A-294973,2,33.853743,-117.924342,CA,92801,US/Pacific,51.0,9.0,7.0,0.0,Cloudy
A-1482269,2,35.743664,-94.19844,AR,72934,US/Central,66.0,10.0,12.0,0.0,Fair
A-1707079,2,38.877632,-77.19195400000002,VA,22046-3743,US/Eastern,32.0,10.0,25.0,0.0,Cloudy / Windy
A-1184632,2,29.863282,-95.475401,TX,77091-1112,US/Central,67.0,10.0,7.0,0.0,Cloudy
A-2123444,3,40.74459,-74.21365,NJ,07106,US/Eastern,68.0,10.0,9.0,0.0,Mostly Cloudy
A-678963,2,34.9193,-82.099255,SC,29334,US/Eastern,72.0,10.0,8.0,0.0,Cloudy
A-1732387,2,46.889444,-103.004261,ND,58655,US/Mountain,47.0,10.0,9.0,0.0,Fair
A-357975,2,41.735196,-72.742942,CT,06110,US/Eastern,71.0,10.0,0.0,0.0,Mostly Cloudy
A-1825574,2,34.179271,-117.439867,CA,92336,US/Pacific,66.0,10.0,0.0,0.0,Fair
A-2800401,4,32.246235,-82.487206,GA,30410,US/Eastern,72.0,10.0,7.0,0.0,Partly Cloudy
A-315539,2,38.572748,-121.414315,CA,95825-5507,US/Pacific,79.0,10.0,5.0,0.0,Fair
A-1689881,2,45.251618,-118.020796,OR,97850,US/Pacific,13.0,9.0,0.0,0.0,Cloudy
A-507131,2,35.223122,-114.236022,AZ,86413,US/Mountain,67.0,10.0,6.0,0.0,Fair
A-1799762,2,25.584796,-80.368967,FL,33157,US/Eastern,80.0,10.0,12.0,0.0,Cloudy
A-1194477,2,37.329347,-120.56323,CA,95301,US/Pacific,82.0,3.0,12.0,0.0,Smoke
A-2382846,2,30.197640000000003,-81.74031,FL,32244,US/Eastern,64.0,0.12,0.0,0.0,Haze
A-588520,2,34.623818,-118.183013,CA,93551-2458,US/Pacific,53.0,10.0,0.0,0.0,Fair
A-731594,2,42.396646,-82.98773,MI,48213,US/Eastern,35.0,10.0,6.0,0.0,Mostly Cloudy
A-540235,2,34.072399,-117.922013,CA,91790,US/Pacific,94.0,10.0,9.0,0.0,Fair
A-1651442,2,40.261818,-75.547249,PA,19473-1403,US/Eastern,28.0,10.0,12.0,0.0,Fair
A-911875,2,40.684048,-111.938884,UT,84123-1131,US/Mountain,84.0,10.0,12.0,0.0,Fair
A-2040483,2,35.912343,-78.781896,NC,27703,US/Eastern,66.0,10.0,6.0,0.0,Fair
A-1763056,2,33.461619,-112.14654,AZ,85009,US/Mountain,84.0,10.0,6.0,0.0,Fair
A-2343387,2,41.83487,-71.4157,RI,02908,US/Eastern,33.0,10.0,5.0,0.0,Fair
A-723495,2,25.628875,-80.342607,FL,33157,US/Eastern,83.0,10.0,9.0,0.0,Fair
A-1635254,2,42.408317,-73.691055,NY,12184-5415,US/Eastern,27.0,1.0,3.0,0.0,Light Snow
A-633476,2,42.231827,-123.64244,OR,97538-9754,US/Pacific,67.0,10.0,3.0,0.0,Fair
A-769558,2,44.569581,-93.29862,MN,55020,US/Central,23.0,10.0,10.0,0.0,Partly Cloudy
A-2430028,2,34.07492,-118.27331,CA,90026,US/Pacific,77.0,10.0,0.0,0.0,Fair
A-1098342,2,33.902431,-81.064913,SC,29172-2634,US/Eastern,82.0,10.0,17.0,0.0,Mostly Cloudy
A-1548459,2,33.237516,-87.56949499999996,AL,35476,US/Central,41.0,10.0,12.0,0.0,Cloudy
A-874266,2,36.794217,-119.706695,CA,93727-7107,US/Pacific,68.0,10.0,6.0,0.0,Mostly Cloudy
A-642883,2,35.154416999999995,-80.73063499999998,NC,28227-7772,US/Eastern,34.0,10.0,3.0,0.0,Fair
A-2113592,2,45.70513,-120.53068,OR,97812,US/Pacific,61.0,10.0,7.0,0.0,Partly Cloudy
A-2323572,2,42.42212,-123.02712,OR,97502,US/Pacific,47.0,6.0,0.0,0.0,Cloudy
A-2674050,4,41.63947,-86.2944,IN,46614,US/Eastern,26.1,2.5,17.3,0.0,Light Snow
A-422000,2,36.149084,-86.86304100000002,TN,37209-3101,US/Central,65.0,5.0,3.0,0.0,Cloudy
A-867181,2,25.626241,-80.342207,FL,33157-1833,US/Eastern,77.0,10.0,17.0,0.0,Partly Cloudy
A-1960016,2,36.66982,-80.708903,VA,24328,US/Eastern,43.0,1.0,0.0,0.04,Light Rain
A-314116,2,32.368074,-86.294911,AL,36104,US/Central,84.0,10.0,3.0,0.0,Partly Cloudy
A-788006,2,45.683648,-109.453051,MT,59069,US/Mountain,24.0,10.0,16.0,0.0,Cloudy
A-629856,2,30.395532,-91.10931,LA,70810-1112,US/Central,58.0,10.0,0.0,0.01,Cloudy
A-822401,2,34.331558,-118.116238,CA,91042,US/Pacific,60.0,10.0,5.0,0.0,Cloudy
A-961486,2,38.536466,-76.781462,MD,20637,US/Eastern,72.0,10.0,0.0,0.0,Mostly Cloudy
A-1411539,2,25.784107,-80.36751,FL,33172-2730,US/Eastern,76.0,10.0,9.0,0.0,Mostly Cloudy
A-2434339,2,42.73036,-71.4525,NH,03060,US/Eastern,46.0,4.0,5.0,0.08,Light Rain
A-2332921,2,36.04571,-117.94719,CA,93555,US/Pacific,38.0,10.0,7.0,0.0,Fair
A-2341776,2,44.96577,-93.27935,MN,55403,US/Central,36.0,10.0,12.0,0.0,Fair
A-2301285,2,45.12424,-93.33589,MN,55443-5500,US/Central,7.0,10.0,9.0,0.0,Partly Cloudy
A-568450,2,26.004674,-80.20727600000002,FL,33023-6719,US/Eastern,88.0,10.0,10.0,0.0,Thunder
A-1350644,2,28.57869,-81.374734,FL,32804,US/Eastern,59.0,10.0,14.0,0.0,Cloudy
A-1265763,2,40.731428,-74.052037,NJ,07306,US/Eastern,37.0,10.0,8.0,0.0,Cloudy
A-258564,2,25.900707,-80.12470400000002,FL,33154,US/Eastern,77.0,10.0,14.0,0.0,Fair
A-415338,2,34.001641,-118.291541,CA,90037-3003,US/Pacific,62.0,6.0,0.0,0.0,Haze
A-2045456,2,26.72369500000001,-80.09163000000002,FL,33409,US/Eastern,85.0,10.0,14.0,0.0,Mostly Cloudy
A-1391349,2,34.028690000000005,-118.149668,CA,90022-2202,US/Pacific,75.0,10.0,5.0,0.0,Fair
A-2264794,3,38.81384,-77.14299,VA,22312,US/Eastern,56.0,10.0,13.0,0.0,Fair
A-1872569,2,39.849964,-84.330404,OH,45315-8702,US/Eastern,39.0,10.0,20.0,0.0,Cloudy
A-831509,2,32.893313,-80.01848100000002,SC,29406,US/Eastern,70.0,10.0,14.0,0.0,Fair
A-688335,2,38.721024,-77.20852099999998,VA,22079,US/Eastern,80.0,10.0,6.0,0.0,Fair
A-743148,2,40.941448,-109.421054,UT,84023,US/Mountain,51.0,10.0,13.0,0.0,Fair
A-2116183,4,39.19217,-84.47808,OH,45216,US/Eastern,53.0,10.0,3.0,0.0,Mostly Cloudy
A-680522,2,37.789303,-122.254015,CA,94606,US/Pacific,53.0,10.0,3.0,0.0,Mostly Cloudy
A-2059444,2,25.76413,-80.32054000000002,FL,33144,US/Eastern,81.0,10.0,8.0,0.0,Fair
A-686324,2,34.0675,-117.982794,CA,91706,US/Pacific,50.0,10.0,0.0,0.0,Fair
A-719748,2,34.639496,-82.456538,SC,29669-1736,US/Eastern,66.0,10.0,8.0,0.0,Mostly Cloudy
